"Name","Access","Description","Author","Team","LastModified","ModifiedBy"
"Get-KSADDomain","Public","Get domain objects from AD.","Chris Dent","Core Technologies","02/09/2014","Chris Dent"
"Get-KSADDomainController","Public","Get Domain Controllers from AD.","Chris Dent","Core Technologies","17/06/2014","Chris Dent"
"Get-KSADDomainPasswordPolicy","Public","Get the domain password policy.","Chris Dent","Core Technologies","16/06/2014","Chris Dent"
"Get-KSADExchangeServer","Public","Get Exchange Servers from Active Directory.","Chris Dent","Core Technologies","25/07/2014","Chris Dent"
"Get-KSADFSMORoleOwner","Public","Get the FSMO role owners.","Chris Dent","Core Technologies","22/09/2014","Chris Dent"
"Get-KSADGroup","Public","Get group objects from AD.","Chris Dent","Core Technologies","25/09/2014","Chris Dent"
"Get-KSADGroupMember","Public","Get all members of a group.","Chris Dent","Core Technologies","19/12/2014","Chris Dent"
"Get-KSADLastLogon","Public","Get the value of lastLogon for user.","Chris Dent","Core Technologies","10/07/2014","Chris Dent"
"Get-KSADMemberOf","Public","Get all groups an object belongs to.","Chris Dent","Core Technologies","19/12/2014","Chris Dent"
"Get-KSADObject","Public","Get objects from Active Directory using System.DirectoryServices (ADSI).","Chris Dent","Core Technologies","26/06/2014","Chris Dent"
"Get-KSADOrganizationalUnit","Public","Get organizationalUnit objects from AD.","Chris Dent","Core Technologies","18/06/2014","Chris Dent"
"Get-KSADRootDSE","Public","Get the RootDSE node.","Chris Dent","Core Technologies","04/06/2014","Chris Dent"
"Get-KSADSite","Public","Get sites from AD.","Chris Dent","Core Technologies","01/09/2014","Chris Dent"
"Get-KSADUser","Public","Get user objects from AD.","Chris Dent","Core Technologies","15/10/2014","Chris Dent"
"Get-KSLocalGroup","Public","Gets local groups from a computer.","Chris Dent","Core Technologies","07/11/2014","Chris Dent"
"Get-KSLocalGroupMember","Public","Get all members of a local group.","Chris Dent","Core Technologies","29/10/2014","Chris Dent"
"Get-KSLocalUser","Public","Gets local user accounts from a computer.","Chris Dent","Core Technologies","07/11/2014","Chris Dent"
"Import-KSADAttributeConverter","Public","Import the script at the specified path into the current module.","Chris Dent","Core Technologies","13/06/2014","Chris Dent"
"Import-KSADAttributeDefinition","Public","Import attribute definitions onto the current session.","Chris Dent","Core Technologies","24/06/2014","Chris Dent"
"Import-KSADCustomProperty","Public","Import the script at the specified path into the current module.","Chris Dent","Core Technologies","13/06/2014","Chris Dent"
"Remove-KSADUserPhoto","Public","Remove a photo from a user.","Chris Dent","Core Technologies","15/10/2014","Chris Dent"
"Set-KSADUser","Public","Set attributes on a user account.","Chris Dent","Core Technologies","05/08/2014","Chris Dent"
"Show-KSADUserPhoto","Public","Show the photo associated with a user.","Chris Dent","Core Technologies","03/07/2014","Chris Dent"
"Unlock-KSADUser","Public","Unlock a user account.","Chris Dent","Core Technologies","18/12/2014","Chris Dent"
"Update-KSADOfflineCache","Public","Update an entry in the offline cache.","Chris Dent","Core Technologies","11/08/2014","Chris Dent"
