"Name","Access","Description","Author","Team","LastModified","ModifiedBy"
"ReadKSDnsMXRecord","Private","Reads properties for an MX record from a byte stream.","","","",""
"ReadKSDnsNAPTRRecord","Private","Reads properties for an NAPTR record from a byte stream.","","","",""
"ReadKSDnsNIMLOCRecord","Private","Reads properties for an NIMLOC record from a byte stream.","","","",""
"ReadKSDnsNINFORecord","Private","Reads properties for an NINFO record from a byte stream.","","","",""
"ReadKSDnsNSAPRecord","Private","Reads properties for an NSAP record from a byte stream.","","","",""
"ReadKSDnsNSAPTRRecord","Private","Reads properties for an NSAPTR record from a byte stream.","","","",""
"ReadKSDnsNSEC3PARAMRecord","Private","Reads properties for an NSEC3PARAM record from a byte stream.","","","",""
"ReadKSDnsNSEC3Record","Private","Reads properties for an NSEC3 record from a byte stream.","","","",""
"ReadKSDnsNSECRecord","Private","Reads properties for an NSEC record from a byte stream.","","","",""
"ReadKSDnsNSRecord","Private","Reads properties for an NS record from a byte stream.","","","",""
"ReadKSDnsNULLRecord","Private","Reads properties for an NULL record from a byte stream.","","","",""
"ReadKSDnsNXTRecord","Private","Reads properties for an NXT record from a byte stream.","","","",""
"ReadKSDnsOPTRecord","Private","Reads properties for an OPT record from a byte stream.","","","",""
"ReadKSDnsPTRRecord","Private","Reads properties for an PTR record from a byte stream.","","","",""
"ReadKSDnsPXRecord","Private","Reads properties for an PX record from a byte stream.","","","",""
"ReadKSDnsResourceRecord","Private","Reads common DNS resource record fields from a byte stream.","","","",""
"ReadKSDnsRKEYRecord","Private","Reads properties for an RKEY record from a byte stream.","","","",""
"ReadKSDnsRPRecord","Private","Reads properties for an RP record from a byte stream.","","","",""
"ReadKSDnsRRSIGRecord","Private","Reads properties for an RRSIG record from a byte stream.","","","",""
"ReadKSDnsRTRecord","Private","Reads properties for an RT record from a byte stream.","","","",""
"ReadKSDnsSIGRecord","Private","Reads properties for an SIG record from a byte stream.","","","",""
"ReadKSDnsSINKRecord","Private","Reads properties for an SINK record from a byte stream.","","","",""
"ReadKSDnsSOARecord","Private","Reads properties for an SOA record from a byte stream.","","","",""
"ReadKSDnsSPFRecord","Private","Reads properties for an SPF record from a byte stream.","","","",""
"ReadKSDnsSRVRecord","Private","Reads properties for an SRV record from a byte stream.","","","",""
"ReadKSDnsSSHFPPRecord","Private","Reads properties for an SSHFP record from a byte stream.","","","",""
"ReadKSDnsTARecord","Private","Reads properties for an DS record from a byte stream.","","","",""
"ReadKSDnsTKEYRecord","Private","Reads properties for an TKEY record from a byte stream.","","","",""
"ReadKSDnsTSIGRecord","Private","Reads properties for an TSIG record from a byte stream.","","","",""
"ReadKSDnsTXTRecord","Private","Reads properties for an TXT record from a byte stream.","","","",""
"ReadKSDnsUnknownRecord","Private","Reads properties for an unknown record type from a byte stream.","","","",""
"ReadKSDnsWINSRecord","Private","Reads properties for an WINS record from a byte stream.","","","",""
"ReadKSDnsWINSRRecord","Private","Reads properties for an WINSR record from a byte stream.","","","",""
"ReadKSDnsWKSRecord","Private","Reads properties for an WKS record from a byte stream.","","","",""
"ReadKSDnsX25Record","Private","Reads properties for an X25 record from a byte stream.","","","",""
"Add-KSInternalDnsCacheRecord","Public","Add a new CacheRecord to the DNS cache object.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Get-KSDns","Public","Get a DNS resource record from a DNS server.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Get-KSDnsServerList","Public","Gets a list of network interfaces and attempts to return a list of DNS server IP addresses.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Get-KSInternalDnsCacheRecord","Public","Get the content of the internal DNS cache used by Get-KSDns.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Initialize-KSInternalDnsCache","Public","Initializes a basic DNS cache for use by Get-KSDns.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Remove-KSInternalDnsCacheRecord","Public","Remove an entry from the DNS cache object.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Update-KSInternalRootHints","Public","Updates the root hints file from InterNIC then re-initializes the internal cache.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
